Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
2009,A64NP2X01,"Jordbruk, jakt og viltstell",29528,10822,4078,7693
2009,A64NP2X03A,Fiske og fangst,11662,6961,936,4720
2009,A64NP2X03B,Akvakultur,27297,6845,2183,3073
2009,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",149217,31303,21604,4203
2009,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,113802,25778,18009,3247
2009,nr2312,¬¬ Bearbeiding og konservering av fisk mv,35415,5525,3595,956
2009,nr23_6,Totalt for næringer,4112837,2226967,1102392,737795
2009,pub2X03,"Fiske, fangst og akvakultur",38959,13806,3119,7793
2010,A64NP2X01,"Jordbruk, jakt og viltstell",30735,11450,4396,8527
2010,A64NP2X03A,Fiske og fangst,13744,8624,1006,6468
2010,A64NP2X03B,Akvakultur,34584,13096,2768,9153
2010,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",151114,34647,21651,7493
2010,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,115067,28221,17855,5789
2010,nr2312,¬¬ Bearbeiding og konservering av fisk mv,36047,6426,3796,1704
2010,nr23_6,Totalt for næringer,4306039,2376786,1138395,835224
2010,pub2X03,"Fiske, fangst og akvakultur",48328,21720,3774,15621
2011,A64NP2X01,"Jordbruk, jakt og viltstell",30511,10695,4653,7536
2011,A64NP2X03A,Fiske og fangst,16511,10865,1101,8760
2011,A64NP2X03B,Akvakultur,34251,8537,3052,4134
2011,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",159301,35251,22605,6703
2011,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,120931,28793,18555,5374
2011,nr2312,¬¬ Bearbeiding og konservering av fisk mv,38370,6458,4050,1329
2011,nr23_6,Totalt for næringer,4653988,2579572,1210927,942060
2011,pub2X03,"Fiske, fangst og akvakultur",50762,19402,4153,12894
2012,A64NP2X01,"Jordbruk, jakt og viltstell",32326,11252,4841,8100
2012,A64NP2X03A,Fiske og fangst,14627,8761,1202,6455
2012,A64NP2X03B,Akvakultur,35522,6043,3112,1363
2012,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",164824,36175,24012,5821
2012,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,127157,29383,19645,4548
2012,nr2312,¬¬ Bearbeiding og konservering av fisk mv,37667,6792,4367,1273
2012,nr23_6,Totalt for næringer,4938804,2745949,1292990,1001948
2012,pub2X03,"Fiske, fangst og akvakultur",50149,14804,4314,7818
2013,A64NP2X01,"Jordbruk, jakt og viltstell",32823,10793,4998,7687
2013,A64NP2X03A,Fiske og fangst,13066,7411,1214,5137
2013,A64NP2X03B,Akvakultur,45750,14619,3347,9679
2013,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",170548,37700,24861,6140
2013,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,130411,28939,20188,3207
